"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_creation\screens\bank_info.dart", "Dart", -68, -7, -12, -87
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_creation\screens\create_tickets.dart", "Dart", -150, -5, -17, -172
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_creation\screens\event_common_questions.dart", "Dart", 41, 0, -2, 39
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_creation\screens\event_details.dart", "Dart", 14, 0, 3, 17
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_creation\screens\event_questions.dart", "Dart", 4, 0, 3, 7
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_creation\screens\event_tickets.dart", "Dart", 19, 1, 0, 20
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_creation\widgets\create_question.dart", "Dart", 91, 3, 4, 98
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_exploration\screens\explore.dart", "Dart", 11, -38, -20, -47
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_exploration\screens\filter_events.dart", "Dart", -213, -16, -13, -242
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_management\screens\edit_questions.dart", "Dart", 3, 0, 0, 3
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_management\screens\edit_registrations.dart", "Dart", 98, 0, 10, 108
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_management\screens\edit_tickets.dart", "Dart", 39, 4, 5, 48
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_management\screens\event_report.dart", "Dart", 145, 2, 12, 159
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_management\screens\manage_event.dart", "Dart", 17, -4, 1, 14
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_management\screens\organiser_dashboard_home.dart", "Dart", 0, 0, -2, -2
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_management\services\export_report.dart", "Dart", 104, 3, 8, 115
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_management\services\report_service.dart", "Dart", -91, -2, -9, -102
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_management\widgets\events_slideshow.dart", "Dart", -1, 0, 0, -1
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_registration\screens\new_registration_form_generator.dart", "Dart", 8, -9, -20, -21
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_registration\screens\registration_summary.dart", "Dart", 173, 0, 12, 185
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_registration\screens\ticket_select.dart", "Dart", -1, 0, 0, -1
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\main.dart", "Dart", 0, 0, -1, -1
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\main_screen.dart", "Dart", 5, 0, 1, 6
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\models\email.dart", "Dart", 25, 0, 3, 28
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\models\question.dart", "Dart", 36, 0, 6, 42
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\models\report.dart", "Dart", 90, 0, 11, 101
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\network\dio_client.dart", "Dart", 0, 0, 2, 2
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\network\email.dart", "Dart", 13, 1, 1, 15
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\network\event.dart", "Dart", 33, 1, 1, 35
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\network\event_registration.dart", "Dart", 15, 0, 5, 20
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\network\report.dart", "Dart", 24, 0, 1, 25
"Total", "-", 484, -66, -7, 411